User,Repo,Size (KB),Number of Contributors
ericjankowski,tinyApp,7384,1
ericliang,msgpack-java,1288,5
eroispaziali,radian6-java-api,14,2
eroispaziali,RockEat,12355,1
errord,elasticsearch,120,91
escherdragon,stashbot,607,2
escidoc,escidoc-browser,6340,3
escidoc,escidoc-deposit-service,312,1
escidoc,escidoc-metadata-updater,648,1
escidoc,escidoc-object-factories,148,1
eSignLive,esl-sdk-java-tests,200,1
eSignLive,QRGen,444,2
eSignLive,spring-social-box,324,3
eSignLive,spring-social-salesforce,95,7
eSignLive,spring-social-smartcloud,29,3
etiago,apache-ddlutils,4859,1
evilmachina,ddd-cqrs-sample,567,2
evoxmusic,elasticsearch-river-neo4j,460,3
ewpatton,cancerwiki-reader,136,1
ewpatton,nar-maven-plugin,5601,21
ewpatton,semanteco-common,484,5
ewpatton,semanteco-core,144,2
ewpatton,semanteco-geopoly-facet,124,1
exic,stream-lib,1965,19
eXist-db,eXist-XMLCalabash,94,3
exo-addons,cmis-search-connector,182,2
exodev,jcr-services,600,6
exosocial,exo.social.component.xmlprocessor,162,2
eXparity,exparity-bean,836,1
eXparity,exparity-stub,127,1
eXparity,fluent-date,260,1
eXparity,hamcrest-bean,467,1
eXparity,hamcrest-date,399,1
ExPixel,EasyArgs,112,1
ExPixel,scribe-java,976,39
exy,sandbox-java,148,1
ezsystems,crowd-ldap-plugin,132,2
F1000Research,cytoscape-d3,86,1
f24-ag,buddycloud-media-server,5861,6
f24-ag,kalium-jni,281,11
f4tq,lucene-je-mongo-directory,116,1
FabioBatSilva,esper-demo-nuclear,64,1
FabioBatSilva,imdb_rest,99,1
fabioCollini,CoseNonJavisteDagger,116,1
fabrodev,demodao,108,1
fabrodev,spring-rest-archetype,86,1
fabrodev,tatami,1861,8
fabrodev,Tudu-Lists,881,1
fadrizul,couchdb-lucene,3630,12
fedefernandez,android-rss-reader,336,0
fedefernandez,api-mz,124,0
felixgborrego,websockets-tomcat,187,1
fhd,gwtetris,236,1
fhd,robolectric,12153,39
